term,term_translation,lang_code
https://publications.europa.eu/resource/authority/language/ENG,englanti,fi
https://publications.europa.eu/resource/authority/language/ENG,English,en
http://lexvo.org/id/iso639-3/eng,English,en
https://www.wikidata.org/wiki/Q622527,self-injury,en
https://www.wikidata.org/wiki/Q2715623,social network,en
https://publications.europa.eu/resource/authority/language/RUS,Russisch,de
https://publications.europa.eu/resource/authority/language/RUS,rusă,ro
https://publications.europa.eu/resource/authority/language/RUS,russo,pt
https://publications.europa.eu/resource/authority/language/RUS,vene keel,et
https://publications.europa.eu/resource/authority/language/RUS,rosyjski,pl
https://publications.europa.eu/resource/authority/language/RUS,Russu,mt
https://publications.europa.eu/resource/authority/language/RUS,ruština,sk
https://publications.europa.eu/resource/authority/language/RUS,російська мова,uk
https://publications.europa.eu/resource/authority/language/RUS,ruso,es
https://publications.europa.eu/resource/authority/language/RUS,ryska,sv
https://publications.europa.eu/resource/authority/language/RUS,russisk,no
https://publications.europa.eu/resource/authority/language/RUS,руски,bg
https://publications.europa.eu/resource/authority/language/RUS,Rúisis,ga
https://publications.europa.eu/resource/authority/language/RUS,russe,fr
https://publications.europa.eu/resource/authority/language/RUS,russo,it
https://publications.europa.eu/resource/authority/language/RUS,ruski,sh
https://publications.europa.eu/resource/authority/language/RUS,russisk,da
https://publications.europa.eu/resource/authority/language/RUS,Russisch,nl
https://publications.europa.eu/resource/authority/language/RUS,krievu valoda,lv
https://publications.europa.eu/resource/authority/language/RUS,rusça,tr
https://publications.europa.eu/resource/authority/language/RUS,pусский,ru
https://publications.europa.eu/resource/authority/language/RUS,ruština,cs
https://publications.europa.eu/resource/authority/language/RUS,ruski,hr
https://publications.europa.eu/resource/authority/language/RUS,Russian,en
https://publications.europa.eu/resource/authority/language/RUS,ρωσικά,el
https://publications.europa.eu/resource/authority/language/RUS,руски,mk
https://publications.europa.eu/resource/authority/language/RUS,руски,sr
https://publications.europa.eu/resource/authority/language/RUS,ruščina,sl
https://publications.europa.eu/resource/authority/language/RUS,venäjä,fi
https://publications.europa.eu/resource/authority/language/RUS,orosz,hu
https://publications.europa.eu/resource/authority/language/RUS,rusų kalba,lt
https://publications.europa.eu/resource/authority/language/RUS,rússneska,is
https://publications.europa.eu/resource/authority/language/RUS,rušćina,hsb
http://lexvo.org/id/iso639-3/rus,Russian,en
https://www.wikidata.org/wiki/Q1519843,health technology,en
http://purl.obolibrary.org/obo/NCIT_C17009,Poverty,en
http://purl.obolibrary.org/obo/SCDO_0000948,Quality of Health Care,en
http://purl.obolibrary.org/obo/OMIT_0010070,Mortality,en
http://purl.obolibrary.org/obo/NCIT_C41150,Income,en
http://purl.obolibrary.org/obo/NCIT_C25172,Employed,en
http://purl.obolibrary.org/obo/NCIT_C16696,Hospital,en
https://www.wikidata.org/wiki/Q53464336,Airborne Diseases,en
https://www.wikidata.org/wiki/Q7743,home,en
http://purl.obolibrary.org/obo/OMIT_0013643,Sexually Transmitted Diseases,en
https://www.wikidata.org/wiki/Q1762591,periodic health examination,en
https://www.wikidata.org/wiki/Q22907655,patient experience,en
http://purl.obolibrary.org/obo/MAXO_0000004,surgical procedure,en
http://purl.obolibrary.org/obo/NCIT_C157935,Non-Communicable Disorder,en
http://purl.obolibrary.org/obo/OMIT_0010062,Morbidity,en
https://publications.europa.eu/resource/authority/language/NNO,norvegiană nynorsk,ro
https://publications.europa.eu/resource/authority/language/NNO,neonorueguês,pt
https://publications.europa.eu/resource/authority/language/NNO,Norwegian Nynorsk,en
https://publications.europa.eu/resource/authority/language/NNO,νορβηγική νίνορσκ,el
https://publications.europa.eu/resource/authority/language/NNO,Nynorsk Norveġiż,mt
https://publications.europa.eu/resource/authority/language/NNO,norvég nynorsk,hu
https://publications.europa.eu/resource/authority/language/NNO,norština (nynorsk),cs
https://publications.europa.eu/resource/authority/language/NNO,norweski nynorsk,pl
https://publications.europa.eu/resource/authority/language/NNO,norska (nynorska),sv
https://publications.europa.eu/resource/authority/language/NNO,norvegese nynorsk,it
https://publications.europa.eu/resource/authority/language/NNO,jaunnorvēģu valoda,lv
https://publications.europa.eu/resource/authority/language/NNO,novonorveški,hr
https://publications.europa.eu/resource/authority/language/NNO,nynorsk,es
https://publications.europa.eu/resource/authority/language/NNO,Nynorsk,de
https://publications.europa.eu/resource/authority/language/NNO,nórčina (nynorsk),sk
https://publications.europa.eu/resource/authority/language/NNO,nynorsk,da
https://publications.europa.eu/resource/authority/language/NNO,норвежки съвременен,bg
https://publications.europa.eu/resource/authority/language/NNO,Nua-Ioruais,ga
https://publications.europa.eu/resource/authority/language/NNO,uusnorja,fi
https://publications.europa.eu/resource/authority/language/NNO,norvegų niunoškas,lt
https://publications.europa.eu/resource/authority/language/NNO,Norwegian Nynorsk,nl
https://publications.europa.eu/resource/authority/language/NNO,norvégien nynorsk,fr
https://publications.europa.eu/resource/authority/language/NNO,novonorveščina,sl
https://publications.europa.eu/resource/authority/language/NNO,uusnorra keel,et
https://publications.europa.eu/resource/authority/language/NNO,норвезька нюнорська мова,uk
http://lexvo.org/id/iso639-3/nno,Norwegian Nynorsk,en
https://www.wikidata.org/wiki/Q96482267,vaccination coverage,en
https://www.wikidata.org/wiki/Q6784043,mass gathering,en
https://www.wikidata.org/wiki/Q193078,injury,en
https://www.wikidata.org/wiki/Q98299735,noncommunicable diseases,en
https://www.wikidata.org/wiki/Q506319,generic drug,en
https://www.wikidata.org/wiki/Q6672123,long-term care,en
http://purl.obolibrary.org/obo/NCIT_C17953,Education Level,en
http://purl.obolibrary.org/obo/SCDO_0001088,Social Support,en
http://purl.obolibrary.org/obo/NCIT_C90384,Food Consumption,en
https://www.wikidata.org/wiki/Q186360,nurse,en
https://www.wikidata.org/wiki/Q171558,accident,en
https://www.wikidata.org/wiki/Q66982216,health status,en
http://purl.obolibrary.org/obo/OBIB_0000716,surgical procedure,en
https://www.wikidata.org/wiki/Q5031455,Cancer survival rates,en
http://purl.obolibrary.org/obo/MFOMD_0000004,mental disorder,en
http://purl.obolibrary.org/obo/OMIT_0017009,Drug Costs,en
https://www.wikidata.org/wiki/Q1814351,public health intervention,en
http://purl.obolibrary.org/obo/OMIT_0002889,Behavior,en
https://www.wikidata.org/wiki/Q28885102,pharmaceutical product,en
https://publications.europa.eu/resource/authority/language/NLD,nižozemšćina,hsb
https://publications.europa.eu/resource/authority/language/NLD,hollenska,is
https://publications.europa.eu/resource/authority/language/NLD,nyderlandų kalba,lt
https://publications.europa.eu/resource/authority/language/NLD,Olandiż,mt
https://publications.europa.eu/resource/authority/language/NLD,Ollainnis,ga
https://publications.europa.eu/resource/authority/language/NLD,niderlandzki,pl
